source,target,weight
UCRelkU8JiZBytTzebJxaa-w,UCkd9W714-947dEE6ZOEBATA,1
UCRelkU8JiZBytTzebJxaa-w,UCA93ym2TXs_Ibyxb4Vcn-6Q,1
UCRelkU8JiZBytTzebJxaa-w,UCHhHUjaMAZ8SiXdCUCj9DkQ,1
UCRelkU8JiZBytTzebJxaa-w,UCFxE8GbokBrBsPEKM1xrOjQ,1
UCRelkU8JiZBytTzebJxaa-w,UC8F2V63KZ4ZEay6opX2hAQw,1
UCRelkU8JiZBytTzebJxaa-w,UC8G5cJONY8L9voMyBW8Eoug,1
UCRelkU8JiZBytTzebJxaa-w,UC3XTwHxygNCgjndsg-UiCQA,1
UCRelkU8JiZBytTzebJxaa-w,UCTD6q1nyIe3Y7HhqjaMj72w,1
UCRelkU8JiZBytTzebJxaa-w,UC72gBAtyb_VXQlYDcFrh6oQ,1
UCRelkU8JiZBytTzebJxaa-w,UC2Y_EHWQKevubk4vOEBBFxw,1
UCRelkU8JiZBytTzebJxaa-w,UCZLG9qH0tUjNhEGFIUt0CYw,1
UCRelkU8JiZBytTzebJxaa-w,UChgkn5Jt5tWKYMoEOuCjz3Q,1
UCRelkU8JiZBytTzebJxaa-w,UCZ51R_9Q9C0c8I3pAWhtmjQ,1
UCRelkU8JiZBytTzebJxaa-w,UCxff05WuyvwELNITi7bj7UA,1
UCRelkU8JiZBytTzebJxaa-w,UCTP3O0rMnc8z8v8jaDQwL0w,1
UCRelkU8JiZBytTzebJxaa-w,UCzoL2l5H5eVlorWGH8AZfAg,1
UCRelkU8JiZBytTzebJxaa-w,UCAmtbUiIrUIhikru0ZoTFig,1
UCRelkU8JiZBytTzebJxaa-w,UCRlCV9zSn7avAWh-9_XFWqQ,1
UCRelkU8JiZBytTzebJxaa-w,UCpl8rF8uv_8uui-QRvuJaRA,1
UCRelkU8JiZBytTzebJxaa-w,UCsUCN0Yq_UyTvKjOJLmNrnQ,1
UCRelkU8JiZBytTzebJxaa-w,UCjSKM9j0Q7HLDr1hD6D-TUw,1
UCRelkU8JiZBytTzebJxaa-w,UChep9kVb5gQmpodEEl10Xlg,1
UCRelkU8JiZBytTzebJxaa-w,UC-pNP6RMFuLg_-x7Ah_0kEA,1
